SELLER_GSTIN,PURCHASER_GSTIN,FILING_PERIOD,INVOICE_NUM,INVOICE_DATE,QUANTITY,TAXABLE_AMOUNT,TAX_RATE,CGST,SGST,IGST,CESS
80E18AC42B,325EDDD715,,9140389879,2018-03-02,2,2601847.17,12,0.0,0.0,312221.66,0.0
776BBCB820,262EA86704,,HR6616004285,2018-03-17,1,916689.15,18,,,165004.05,
5A4FC8F226,AA67FDC3A6,,04B045/19268,2018-03-05,1,41457.97,5,,,2072.9,5796.0
E7A5A47B46,37626EC80E,,3150,2018-01-16,1,39873.45,28,5582.28,5582.28,,0.0
6920AA6331,36DB0ABC9A,,RICE-343,2018-03-10,1,771169.0,0,0.0,0.0,,0.0
7505EF1EFB,7D1D2B2F65,,005/BI/17000723,2018-01-27,1801,7242.0,18,651.78,651.78,,0.0
5DA0527958,294205D6E0,,V171807470,2018-03-30,2,5000.0,18,,,900.0,0.0
099952F740,6C1197F1E9,,MST02082,2018-03-25,1,2544.65,5,63.62,63.62,,0.0
2242D4F292,DE082D3E0E,,ST0980005056,2017-12-12,2801,29525.0,28,,,8267.0,0.0
62CD3BF990,1D916FB203,,3702014190,2018-02-23,1801,840691.8,18,,,151324.52,0.0
F4E518B376,48BE3A00A8,,17-12775,2018-01-31,1801,3474.8,18,,,625.46,0.0
6920AA6331,6186DCE398,,1009,2018-01-12,2,767234.0,0,0.0,0.0,,0.0
B64AAF6835,FA8D45A223,,8952029515,2018-03-04,1,38768.1,28,0.0,0.0,10855.07,0.0
CADC29DB4C,48F5207202,,22669,2018-01-21,1,2875.0,12,,,345.0,0.0
C9202698C4,49EE49A118,,1857,2018-01-19,1,181292.0,18,16316.28,16316.28,,
E7A5A47B46,43212548D6,012018,4471,2018-01-01,1801,26469.0,18,,,4764.42,0.0
86DFEB0A3F,4D7C1CC30C,012018,SIMH171803165,2018-01-31,1801,39999.0,18,,,7199.82,0.0
C15EA8D5A2,E7B13D0F4D,012018,HR2170610861,2018-01-15,1,3500.0,18,0.0,0.0,630.0,0.0
824D0342B8,5B09FA7004,012018,10101678,2018-01-22,1,679500.0,5,0.0,0.0,33975.0,0.0
A5227F3731,6E6B4743D5,012018,PCC/17-18/0846,2018-01-09,1,727.0,18,,,130.86,0.0
776BBCB820,0B3D8AB3C5,012018,T-1224,2018-01-12,101,2510.0,18,225.9,225.9,0.0,0.0
3536A3DD25,B107F7DDBF,012018,630,2018-01-01,1,3788.0,18,0.0,0.0,681.84,0.0
B64AAF6835,FA8D45A223,012018,8953024704,2018-01-09,1,67067.25,28,0.0,0.0,18778.83,0.0
65B11036F4,8A3A467E72,012018,031801G10006633,2018-01-03,1,53830.53,18,4844.75,4844.75,,0.0
A688617A12,7E4B9FB459,012018,FGP/17/P/10996,2018-01-07,2801,112500.0,28,,,31500.0,0.0
